title,category,amount,date,notes
Coffee,Food & Drink,4.50,2025-01-12,Morning coffee
Groceries,Groceries,32.90,2025-01-12,Weekly shopping
Uber Transportation,Transport,12.75,2025-01-13,Ride to office
Netflix Subscription,Entertainment,15.99,2025-01-13,Monthly subscription
Electricity Bill,Utilities,84.22,2025-01-14,Billed monthly
Lunch at Subway,Food & Drink,9.80,2025-01-14,
Gym Membership,Health,45.00,2025-01-15,Monthly gym fee
Phone Bill,Utilities,55.30,2025-01-15,Monthly mobile plan
Book Purchase,Education,18.40,2025-01-16,Study reference
Movie Tickets,Entertainment,24.00,2025-01-17,Watched with friends
Salary,Income,3000.00,2025-01-15,Monthly paycheck
Side Project Income,Income,450.00,2025-01-10,Freelance work
